Reading ID, Time (µs), Force (N) 
1609,7907950,57
1610,7908982,58
1611,7910000,58
1612,7911016,57
1613,7912049,57
1614,7913837,56
1615,7914087,54
1616,7915826,55
1617,7916130,54
1618,7917826,54
1619,7918179,52
1620,7919826,54
1621,7920214,55
1622,7921826,55
1623,7922263,56
1624,7923826,56
1625,7924308,56
1626,7925829,57
1627,7926341,57
1628,7927837,57
1629,7928394,56
1630,7929826,56
1631,7930439,55
1632,7931826,54
1633,7932479,54
1634,7933824,53
1635,7934525,53
1636,7935826,54
1637,7936563,54
1638,7937827,55
1639,7938616,55
1640,7939825,57
1641,7940649,56
1642,7941825,57
1643,7942692,57
1644,7943870,57
1645,7945732,55
1646,7945922,56
1647,7947759,55
1648,7947949,54
1649,7949796,53
1650,7949974,54
1651,7951827,53
1652,7952016,53
1653,7953826,54
1654,7954011,54
1655,7955825,54
1656,7956014,57
1657,7957836,57
1658,7958030,56
1659,7959828,57
1660,7960066,58
1661,7961825,57
1662,7962107,56
1663,7963825,55
1664,7964148,54
1665,7965845,52
1666,7966191,53
1667,7967828,54
1668,7968240,52
1669,7969829,54
1670,7970286,54
1671,7971828,54
1672,7972324,55
1673,7973829,57
1674,7974368,57
1675,7975828,57
1676,7976413,57
1677,7977826,57
1690,7991711,57
1691,7991887,57
1692,7993744,57
1693,7993930,58
1694,7995128,56
1695,7995848,56
1696,7996890,55
1697,7997894,54
1698,7998890,53
1699,7999909,54
1700,8000933,54
1701,8001950,52
1702,8002984,54
1703,8003998,54
1704,8005023,54
1705,8006042,57
1706,8007063,57
1707,8008080,57
1708,8009104,58
1709,8010128,57
1710,8011153,56
1711,8012169,56
1712,8013193,56
1713,8014219,55
1714,8015238,54
1715,8016262,53
1716,8017275,54
1717,8018303,54
1718,8019319,54
1719,8020340,54
1720,8021360,54
1721,8022388,57
1722,8023408,57
1723,8024430,57
1724,8025453,57
1725,8026475,57
1726,8027494,58
1727,8028518,56
1728,8029535,55
1729,8030556,55
1730,8031587,54
1731,8032605,53
1732,8033630,54
1733,8034638,53
1734,8035668,53
